product_id,product_name,category_id,brand,cost_price,selling_price,stock_quantity
1,Generic Classic Item 1,22,Generic,17449.33,21134.9,263
2,HouseBrand Lite Product 2,25,HouseBrand,19040.44,31625.06,256
3,Nivea Max Pack 3,4,Nivea,11287.13,15700.61,91
4,ProLine Pro Kit 4,24,ProLine,16114.43,27149.51,272
5,Dell Ultra Laptop 5,12,Dell,5719.61,8639.36,443
6,H&M Prime Shirt 6,2,H&M,20699.4,32303.11,82
7,Generic Ultra Pack 7,19,Generic,-8895.42,15842.33,222
8,ProLine Ultra Kit 8,23,ProLine,19470.67,24854.61,181
9,Asus Pro Desktop 9,12,Asus,1142.9,1428.95,371
10,HouseBrand Plus Kit 10,18,HouseBrand,18631.82,33143.8,205
11,Premium Ultra Product 11,9,Premium,9292.97,13523.23,397
12,Premium Max Item 12,5,Premium,3291.54,4803.04,165
13,ValueMart Plus Novel 13,6,ValueMart,16761.86,24039.0,80
14,Premium Classic Pack 14,21,Premium,17521.61,23707.41,383
15,Generic Eco Kit 15,21,Generic,20128.87,28217.88,449
16,Generic Max Kit 16,8,Generic,17078.26,21191.37,416
17,ProLine Prime Set 17,5,ProLine,233.69,388.28,390
18,Premium Ultra Pack 18,17,Premium,17643.88,29244.27,277
19,Dell Ultra Laptop 19,12,Dell,14240.09,17670.07,122
20,Premium Ultra Item 20,3,Premium,16726.65,24357.56,427
21,Generic Classic Kit 21,15,Generic,19136.72,29902.41,282
22,ValueMart Lite Set 22,14,ValueMart,-14002.22,18868.94,301
23,LG Ultra Headphone 23,1,LG,10946.1,14114.78,138
24,OnePlus Prime Phone 24,11,OnePlus,21342.41,27789.11,410
25,H&M Ultra Shirt 25,2,H&M,7070.53,9480.42,217
26,HouseBrand Mini Kit 26,17,HouseBrand,13947.95,23147.09,498
27,Premium Ultra Pack 27,17,Premium,10189.35,17109.07,160
28,Premium Ultra Item 28,5,Premium,616.67,745.26,385
29,Generic Mini Set 29,19,Generic,11573.84,14523.16,450
30,Puma Ultra Sneaker 30,13,Puma,3850.19,6170.35,247
31,Acer Ultra Desktop 31,12,Acer,-9556.48,12862.86,341
32,ValueMart Smart Kit 32,16,ValueMart,9077.22,10955.95,171
33,HouseBrand Lite Set 33,3,HouseBrand,24049.35,41859.76,247
34,HouseBrand Eco Pack 34,18,HouseBrand,6683.46,11896.32,-10
35,Premium Mini Pack 35,20,Premium,17936.41,25865.83,368
36,ProLine Plus Kit 36,7,ProLine,2454.95,4263.49,63
37,HP Eco Notebook 37,12,HP,-5098.97,6877.86,404
38,ValueMart Pro Item 38,15,ValueMart,4460.48,7613.14,9
39,Generic Lite Product 39,19,Generic,18000.6,25756.35,154
40,ValueMart Max Pack 40,16,ValueMart,14623.24,22993.59,314
41,ValueMart Prime Kit 41,3,ValueMart,10424.39,12270.02,89
42,Reebok Eco Running Shoe 42,13,Reebok,8280.04,10299.88,338
43,Generic Eco Item 43,3,Generic,14711.73,18549.81,149
44,Premium Max Set 44,24,Premium,14547.48,20009.56,306
45,Premium Lite Kit 45,15,Premium,618.96,1097.46,209
46,Reebok Classic Sneaker 46,13,Reebok,19579.24,23568.99,137
47,Bata Eco Sandal 47,13,Bata,12293.14,21630.85,80
48,Generic Eco Set 48,15,Generic,11863.56,15701.83,476
49,ProLine Lite Product 49,9,ProLine,13040.78,18717.33,142
50,LG Eco Speaker 50,1,LG,20665.98,35803.9,271
51,Dove Prime Item 51,4,Dove,13873.2,16933.27,332
52,Premium Pro Kit 52,17,Premium,7066.78,11155.79,365
53,Generic Classic Set 53,19,Generic,19227.75,23458.46,307
54,HouseBrand Ultra Item 54,23,HouseBrand,5793.84,6803.81,70
55,ProLine Max Item 55,14,ProLine,9304.51,15718.7,230
56,  ValueMart Eco Item 56  ,21,ValueMart,7962.62,14088.94,317
57,HouseBrand Smart Product 57,8,HouseBrand,12900.68,16982.16,-10
58,ProLine Classic Product 58,24,ProLine,4156.97,4901.87,149
59,  Realme Ultra Smartphone 59  ,11,Realme,24809.77,42910.74,45
60,ProLine Classic Product 60,19,ProLine,22275.27,38552.71,57
61,Reebok Smart Running Shoe 61,13,Reebok,7932.43,13102.85,167
62,ProLine Max Kit 62,17,ProLine,9372.76,11354.19,368
63,HouseBrand Max Product 63,19,HouseBrand,6598.39,11606.1,473
64,Premium Prime Item 64,7,Premium,3112.81,5261.34,445
65,Dove Prime Product 65,4,Dove,4522.74,6963.21,359
66,HouseBrand Max Item 66,22,HouseBrand,4951.04,6692.37,499
67,Generic Max Product 67,20,Generic,24297.07,35849.88,216
68,Nivea Max Set 68,4,Nivea,397.71,516.74,139
69,Dove Classic Product 69,4,Dove,16957.58,20844.11,148
70,Reebok Eco Sandal 70,13,Reebok,17371.85,26539.42,208
71,HouseBrand Prime Pack 71,5,HouseBrand,20112.91,32482.64,42
72,ValueMart Smart Product 72,19,ValueMart,3319.89,4084.93,283
73,ValueMart Max Product 73,24,ValueMart,9969.58,13415.23,66
74,Nike Plus Boot 74,13,Nike,16588.46,29380.74,260
75,ValueMart Smart Kit 75,8,ValueMart,23123.97,26966.22,298
76,Generic Pro Item 76,14,Generic,15867.68,19340.06,361
77,Lakme Max Set 77,4,Lakme,10506.9,18681.8,82
78,  HouseBrand Ultra Product 78  ,15,HouseBrand,23328.93,39025.44,216
79,Acer Lite Monitor 79,12,Acer,19629.85,22801.91,331
80,ValueMart Classic Product 80,3,ValueMart,20744.24,34599.96,231
81,ValueMart Max Guide 81,6,ValueMart,13292.7,20522.74,466
82,ValueMart Max Pack 82,22,ValueMart,15097.52,21410.87,59
83,Generic Pro Pack 83,10,Generic,10675.76,16801.03,481
84,Generic Lite Product 84,22,Generic,11374.73,14913.36,134
85,ValueMart Smart Biography 85,6,ValueMart,18663.06,31368.31,479
86,HOUSEBRAND PRO KIT 86,3,HouseBrand,1710.64,2628.2,178
87,Loreal Pro Kit 87,4,Loreal,20625.37,27879.67,461
88,Lakme Smart Set 88,4,Lakme,23028.21,28960.18,77
89,Premium Eco Kit 89,8,Premium,3882.65,4756.51,270
90,Philips Ultra Speaker 90,1,Philips,1432.12,1809.51,415
91,Levis Pro Jacket 91,2,Levis,14799.04,23566.94,401
92,ProLine Pro Pack 92,10,ProLine,7983.88,11799.71,368
93,Premium Pro Item 93,22,Premium,21285.73,25080.1,246
94,ProLine Eco Kit 94,5,ProLine,5956.78,7815.9,321
95,ProLine Pro Product 95,15,ProLine,10435.75,12335.21,3
96,ProLine Lite Item 96,10,ProLine,13117.64,15952.19,46
97,Generic Max Pack 97,21,Generic,1346.45,2357.83,344
98,HouseBrand Max Kit 98,3,HouseBrand,21097.2,36640.03,119
99,ProLine Prime Product 99,25,ProLine,20060.55,33233.52,313
100,ProLine Prime Item 100,17,ProLine,19485.96,24113.08,413
101,Generic Prime Kit 101,14,Generic,12879.86,21991.35,416
102,Acer Classic Desktop 102,12,Acer,9657.98,15121.66,124
103,HouseBrand Ultra Set 103,7,HouseBrand,3537.22,5166.54,82
104,OnePlus Lite Smartphone 104,11,OnePlus,5852.62,8128.6,252
105,Premium Plus Kit 105,10,Premium,8221.01,11481.89,91
106,Generic Smart Item 106,18,Generic,7457.07,13174.84,335
107,ProLine Max Pack 107,23,ProLine,12048.72,16427.64,230
108,Generic Ultra Pack 108,14,Generic,21221.58,33406.62,101
109,ProLine Lite Set 109,21,ProLine,13341.42,20831.25,36
110,Premium Ultra Item 110,8,Premium,18385.58,23562.28,298
111,Premium Lite Set 111,18,Premium,21524.94,26601.96,476
112,ValueMart Classic Pack 112,16,ValueMart,2422.64,3928.83,290
113,ProLine Pro Pack 113,3,ProLine,23401.7,29002.08,479
114,ProLine Max Set 114,24,ProLine,20032.06,30767.11,222
115,HouseBrand Max Set 115,20,HouseBrand,19888.12,35100.89,45
116,Generic Lite Pack 116,7,Generic,14772.39,17900.92,260
117,Premium Prime Set 117,16,Premium,4323.72,6560.03,3
118,HouseBrand Ultra Set 118,15,HouseBrand,11676.33,17394.35,363
119,Premium Smart Pack 119,20,Premium,19991.16,29385.0,117
120,Premium Max Item 120,15,Premium,23284.34,28589.14,392
121,ValueMart Pro Set 121,3,ValueMart,2238.34,3531.23,364
122,Apple Lite Smartphone 122,11,Apple,19369.32,30725.56,365
123,Premium Smart Product 123,9,Premium,22464.25,36968.2,317
124,ProLine Eco Kit 124,7,ProLine,9136.59,12374.47,156
125,Nivea Max Item 125,4,Nivea,3737.2,6571.8,277
126,Samsung Plus Phone 126,11,Samsung,9613.83,15615.7,87
127,ProLine Lite Pack 127,14,ProLine,23406.69,38789.47,306
128,Asus Pro Notebook 128,12,Asus,9440.17,16910.28,2
129,  Premium Pro Set 129  ,18,Premium,23782.31,29181.16,135
130,Premium Ultra Product 130,22,Premium,15944.99,19600.36,239
131,Generic Eco Set 131,15,Generic,17168.1,19880.6,47
132,ASUS ULTRA NOTEBOOK 132,12,Asus,20643.72,27703.53,484
133,HP Mini Notebook 133,12,HP,11085.74,14924.21,257
134,Generic Plus Product 134,23,Generic,19543.29,23879.6,195
135,ValueMart Classic Product 135,25,ValueMart,21986.04,29341.26,388
136,HouseBrand Mini Item 136,21,HouseBrand,2705.17,4867.73,11
137,Generic Ultra Kit 137,17,Generic,16270.62,19667.71,340
138,HouseBrand Plus Kit 138,23,HouseBrand,773.54,1010.66,226
139,Maybelline Ultra Product 139,4,Maybelline,19430.36,24848.18,7
140,Generic Mini Product 140,23,Generic,16423.91,19273.55,2
141,LG Max Headphone 141,1,LG,1338.87,2067.02,490
142,Premium Eco Set 142,21,Premium,6001.89,10215.91,122
143,Puma Plus Shirt 143,2,Puma,20034.05,35121.03,60
144,Generic Classic Item 144,20,Generic,17468.11,29602.98,223
145,H&M Classic Shirt 145,2,H&M,5084.46,6259.99,348
146,Nike Prime Sneaker 146,13,Nike,18642.44,29073.03,43
147,ValueMart Plus Set 147,22,ValueMart,3922.56,6383.98,26
148,ValueMart Eco Pack 148,5,ValueMart,6805.43,10966.53,261
149,Generic Prime Kit 149,25,Generic,15308.01,18146.5,35
150,HouseBrand Pro Set 150,16,HouseBrand,1106.65,1908.63,229
151,ValueMart Eco Item 151,18,ValueMart,4369.54,5285.48,385
152,ProLine Plus Product 152,5,ProLine,24501.68,35480.01,271
153,ValueMart Plus Item 153,20,ValueMart,15928.39,24244.1,223
154,Dove Max Set 154,4,Dove,23653.31,31834.34,209
155,Premium Classic Pack 155,15,Premium,17509.41,27524.82,221
156,ValueMart Mini Set 156,24,ValueMart,3753.55,5556.87,345
157,OnePlus Ultra Phone 157,11,OnePlus,11880.51,14583.22,-10
158,Lakme Lite Kit 158,4,Lakme,6987.98,9420.2,307
