review_id,customer_id,product_id,order_id,rating,review_text,review_date
1,8252,1882,76023,3,Okay for the price.,2024-05-29
2,216,275,96418,2,Disappointed with the purchase.,2023-02-09
3,3017,2163,79388,5,"Excellent quality, will buy again.",2022-12-29
4,10540,124,39518,1,Product arrived damaged.,2022-10-19
5,3761,251,17690,5,Good value for money.,2023-06-14
6,2181,1791,9641,1,Stopped working after a week.,2022-06-09
7,9951,307,8656,1,"Not as expected, quality is poor.",2023-06-30
8,7002,2114,47085,4,"Excellent quality, will buy again.",2023-12-06
9,5789,555,34181,1,Disappointed with the purchase.,2023-12-12
10,2611,1629,25687,1,,2022-06-10
11,610,992,55579,5,"Excellent quality, will buy again.",2023-02-03
12,5553,770,10147,5,Good value for money.,2024-02-22
13,7965,592,92314,3,It's decent.,2022-01-25
14,7433,232,90689,1,Would not recommend.,2023-04-24
15,1408,321,82893,4,,2024-04-24
16,4919,767,99183,4,"Great product, exactly as described!",2024-04-11
17,4034,37,87885,4,"Excellent quality, will buy again.",2022-08-27
18,6248,272,44404,5,Good value for money.,2024-12-23
19,9554,1368,63120,1,"Not as expected, quality is poor.",2024-02-17
20,6916,1421,38003,3,,2022-12-27
21,6689,1063,16659,4,Very satisfied with this purchase.,2023-07-11
22,10378,1831,80931,1,"Not as expected, quality is poor.",2023-07-02
23,5564,705,52887,4,"Great product, exactly as described!",2024-04-26
24,6441,1085,100734,1,Stopped working after a week.,2024-05-09
25,10330,664,80603,2,"Not as expected, quality is poor.",2024-03-07
26,6527,1192,11597,1,"Not as expected, quality is poor.",2022-12-23
27,421,1252,37921,3,It's decent.,2024-04-28
28,4776,758,102098,5,Good value for money.,2023-01-11
29,4896,1028,86667,5,Good value for money.,2022-10-27
30,783,511,36675,1,Stopped working after a week.,2024-02-11
31,645,390,81312,2,Does not match the description.,2023-02-15
32,5074,2200,48048,4,Good value for money.,2024-09-05
33,9415,1219,85936,2,Disappointed with the purchase.,2023-12-17
34,6255,1221,86144,4,Fast delivery and great packaging.,2023-03-14
35,8051,977,44752,1,Product arrived damaged.,2023-05-23
36,10365,1593,39098,4,Highly recommend this product.,2022-06-03
37,75,1127,95098,2,Stopped working after a week.,2024-03-23
38,8940,291,81533,1,"Not as expected, quality is poor.",2022-12-23
39,9101,1340,87772,5,Good value for money.,2024-03-16
40,3172,1349,15600,3,"Average product, nothing special.",2022-02-03
41,6844,108,32695,5,Good value for money.,2024-09-28
42,5413,1104,36443,5,Highly recommend this product.,2022-03-08
43,1238,899,32443,1,Product arrived damaged.,2024-06-07
44,6353,206,5356,1,Disappointed with the purchase.,2023-04-07
