shipping_id,order_id,carrier,shipping_date,delivery_date,shipping_cost
1,3,Delhivery,2024-07-01,2024-07-03,145.3
2,4,FedEx,2023-12-11,2023-12-18,224.22
3,5,BlueDart,2022-01-08,2022-01-13,124.0
4,6,EcomExpress,2024-07-08,2024-07-13,85.16
5,7,FedEx,2024-06-15,2024-06-21,206.87
6,10,Delhivery,2023-06-16,2023-06-20,65.37
7,11,DTDC,2023-03-15,2023-03-16,26.1
8,13,IndiaPost,2023-03-10,2023-03-15,187.31
9,16,BlueDart,2022-12-19,2022-12-20,61.45
10,17,EcomExpress,2023-06-17,2023-06-19,180.78
11,18,DTDC,2024-12-29,2025-01-01,170.2
12,20,Delhivery,2022-06-24,2022-07-01,190.64
13,21,FedEx,2023-04-08,2023-04-12,73.61
14,22,Delhivery,2023-12-31,2024-01-06,54.66
15,24,IndiaPost,2023-03-06,2023-03-10,128.91
16,25,EcomExpress,2023-12-21,2023-12-27,92.52
17,26,BlueDart,2023-02-16,2023-02-18,196.45
18,27,DTDC,2022-07-23,2022-07-24,190.6
19,28,EcomExpress,2022-10-16,2022-10-17,42.68
20,29,EcomExpress,2023-05-25,2023-06-01,222.05
21,31,Delhivery,2025-04-28,2025-05-02,84.05
22,33,DTDC,2022-12-08,2022-12-14,63.21
23,34,Delhivery,2022-09-20,2022-09-25,240.8
24,35,DTDC,2022-05-27,2022-06-03,71.43
25,36,FedEx,2022-02-13,2022-02-20,93.26
26,37,IndiaPost,2023-02-10,2023-02-12,210.76
27,38,EcomExpress,2022-02-07,2022-02-12,92.8
28,39,IndiaPost,2023-07-21,2023-07-28,83.29
29,40,IndiaPost,2022-09-24,2022-10-01,232.4
30,41,BlueDart,2023-02-22,2023-02-28,37.95
31,42,IndiaPost,2024-07-30,2024-07-30,193.18
32,43,FedEx,2023-11-30,2023-12-01,156.68
33,44,EcomExpress,2022-06-27,2022-07-02,190.52
34,45,IndiaPost,2023-07-10,2023-07-13,187.5
35,46,EcomExpress,2024-07-01,2024-07-03,75.77
36,47,EcomExpress,2024-07-30,2024-08-03,44.96
37,48,BlueDart,2023-04-04,2023-04-09,29.02
38,49,EcomExpress,2024-11-25,2024-11-29,222.43
39,50,EcomExpress,2024-05-15,2024-05-18,200.4
40,51,DTDC,2022-07-29,2022-08-04,117.98
41,52,BlueDart,2024-05-28,2024-05-31,242.0
42,53,IndiaPost,2022-04-16,2022-04-22,230.6
43,54,BlueDart,2022-06-20,2022-06-27,167.21
44,55,EcomExpress,2022-01-11,2022-01-18,28.82
45,57,DTDC,2022-06-21,2022-06-24,160.01
46,59,BlueDart,2023-04-07,2023-04-08,130.91
47,60,Delhivery,2023-04-21,2023-04-27,227.36
48,61,,2024-01-26,2024-01-30,72.95
49,62,IndiaPost,2022-01-16,2022-01-21,54.3
50,64,DTDC,2024-08-25,2024-09-01,219.5
51,65,IndiaPost,2022-03-02,2022-03-03,188.84
52,66,DTDC,2022-09-20,2022-09-22,39.07
53,67,IndiaPost,2022-11-18,2022-11-22,238.77
54,69,FedEx,2023-08-29,2023-08-30,66.44
55,70,DTDC,2023-11-16,2023-11-21,115.78
56,71,Delhivery,2024-02-06,2024-02-12,225.63
57,74,IndiaPost,2024-11-25,2024-12-02,167.76
58,75,BlueDart,2024-01-08,2024-01-08,156.82
59,76,IndiaPost,2024-08-08,2024-08-14,152.67
60,77,EcomExpress,2024-10-21,2024-10-27,211.56
61,78,BlueDart,2023-07-29,2023-08-04,109.95
62,79,EcomExpress,2022-09-26,2022-09-30,188.38
63,80,BlueDart,2022-11-10,2022-11-15,101.45
64,82,FedEx,2022-12-07,2022-12-14,109.98
65,84,Delhivery,2023-07-23,2023-07-29,211.81
66,85,EcomExpress,2023-05-26,2023-05-30,110.31
67,86,EcomExpress,2022-09-25,2022-09-26,200.56
68,88,EcomExpress,2023-01-22,2023-01-26,106.37
69,89,BlueDart,2024-05-12,2024-05-19,69.6
70,90,FedEx,2023-01-15,2023-01-18,202.33
71,91,EcomExpress,2023-01-08,2023-01-12,239.88
72,93,BlueDart,2022-12-05,2022-12-08,186.35
73,94,FedEx,2022-09-02,2022-09-05,108.48
74,95,BlueDart,2023-12-19,2023-12-21,118.5
75,97,DTDC,2023-12-20,2023-12-23,233.49
76,98,IndiaPost,2022-02-21,2022-02-28,96.74
77,99,FedEx,2023-05-27,2023-05-29,95.61
78,100,EcomExpress,2024-03-26,2024-04-02,235.06
79,101,Delhivery,2024-12-05,2024-12-09,232.64
80,102,FedEx,2023-02-20,2023-02-24,155.11
81,103,BlueDart,2024-04-27,2024-04-30,181.13
82,104,BlueDart,2023-08-22,2023-08-26,83.92
83,105,FedEx,2022-11-30,2022-12-01,232.77
84,106,DTDC,2023-08-07,2023-08-14,147.3
85,108,BlueDart,2022-08-20,2022-08-23,238.47
86,111,IndiaPost,2022-02-13,2022-02-13,233.65
87,112,DTDC,2023-11-19,2023-11-26,201.71
88,113,BlueDart,2022-10-21,2022-10-25,153.51
89,114,EcomExpress,2024-11-18,2024-11-25,183.92
90,117,EcomExpress,2023-12-22,2023-12-24,239.48
91,119,BlueDart,2022-09-04,2022-09-09,188.32
92,121,IndiaPost,2024-05-22,2024-05-29,112.99
93,122,Delhivery,2023-02-09,2023-02-10,117.15
94,123,FedEx,2022-02-17,2022-02-21,129.78
95,124,,2024-05-15,2024-05-20,107.84
96,125,BlueDart,2024-05-27,2024-06-01,218.84
97,126,BlueDart,2024-08-20,2024-08-27,169.62
98,127,FedEx,2023-08-24,2023-08-25,189.05
99,128,DTDC,2024-11-14,2024-11-16,80.19
100,129,IndiaPost,2024-12-31,2025-01-06,27.18
101,130,EcomExpress,2024-11-19,2024-11-25,214.35
102,131,FedEx,2022-09-17,2022-09-18,128.0
103,132,IndiaPost,2023-02-06,2023-02-09,164.83
104,133,IndiaPost,2023-03-10,2023-03-12,96.43
105,134,IndiaPost,2022-11-16,2022-11-21,137.88
106,136,BlueDart,2024-08-27,2024-08-30,104.33
107,137,BlueDart,2024-02-20,2024-02-25,37.79
108,138,FedEx,2023-07-22,2023-07-26,25.12
109,140,BlueDart,2024-09-01,2024-09-03,113.48
110,141,IndiaPost,2024-05-25,2024-05-27,129.08
111,143,FedEx,2023-06-01,2023-06-08,195.31
112,144,BlueDart,2023-06-03,2023-06-10,212.33
113,145,BlueDart,2022-04-29,2022-05-03,100.21
114,146,FedEx,2022-08-31,2022-09-04,207.81
115,149,IndiaPost,2024-10-03,2024-10-10,87.14
116,150,Delhivery,2022-01-08,2022-01-12,175.69
117,151,EcomExpress,2023-11-01,2023-11-08,93.6
118,152,BlueDart,2024-05-12,2024-05-13,189.84
119,153,DTDC,2023-02-22,2023-03-01,89.85
120,154,BlueDart,2023-11-03,2023-11-07,156.26
121,155,Delhivery,2022-07-16,2022-07-20,129.66
122,156,EcomExpress,2023-03-16,2023-03-22,194.49
123,157,EcomExpress,2022-08-25,2022-08-31,197.87
124,158,EcomExpress,2024-11-23,2024-11-30,30.31
125,160,FedEx,2023-12-10,2023-12-17,110.04
126,161,IndiaPost,2024-11-29,2024-12-03,150.2
127,163,BlueDart,2024-10-12,2024-10-15,90.7
128,164,Delhivery,2022-11-07,2022-11-10,92.02
129,166,IndiaPost,2024-12-08,2024-12-14,188.92
130,167,FedEx,2022-09-20,2022-09-23,46.98
131,168,FedEx,2024-01-09,2024-01-12,136.21
132,169,IndiaPost,2022-07-05,2022-07-11,198.6
133,170,DTDC,2023-04-09,2023-04-16,171.2
134,173,EcomExpress,2023-11-15,2023-11-18,187.06
135,174,EcomExpress,2022-09-21,2022-09-26,27.92
136,175,FedEx,2023-02-18,2023-02-25,230.0
137,176,EcomExpress,2024-11-03,2024-11-10,79.95
138,177,BlueDart,2024-08-22,2024-08-27,52.22
139,178,IndiaPost,2024-07-18,2024-07-25,175.91
140,179,FedEx,2022-06-18,2022-06-23,221.58
141,180,FedEx,2024-04-21,2024-04-25,240.16
142,181,Delhivery,2024-09-09,2024-09-12,222.56
143,182,DTDC,2022-03-28,2022-03-30,230.28
144,183,DTDC,2023-12-31,2024-01-03,31.56
145,184,BlueDart,2022-09-10,2022-09-11,80.32
146,185,IndiaPost,2023-07-13,2023-07-15,87.7
147,186,DTDC,2023-04-17,2023-04-24,121.6
148,188,DTDC,2024-11-24,2024-11-27,222.49
149,189,DTDC,2024-02-09,2024-02-13,31.05
150,190,EcomExpress,2024-12-22,2024-12-23,218.39
151,191,EcomExpress,2024-06-05,2024-06-06,171.01
152,192,FedEx,2022-04-28,2022-04-29,221.82
153,193,FedEx,2024-05-05,2024-05-12,221.16
154,194,BlueDart,2023-05-28,2023-06-04,108.18
155,195,BlueDart,2024-12-14,2024-12-19,86.59
156,198,BlueDart,2022-07-05,2022-07-08,184.62
157,199,DTDC,2022-12-03,2022-12-07,115.45
158,200,DTDC,2023-03-06,2023-03-07,88.65
159,201,EcomExpress,2022-11-01,2022-11-05,68.78
160,202,DTDC,2022-06-15,2022-06-18,199.61
161,204,Delhivery,2024-12-25,2024-12-27,199.27
162,205,Delhivery,2024-06-04,2024-06-07,97.86
163,206,EcomExpress,2022-06-03,2022-06-07,237.93
164,210,BlueDart,2024-05-10,2024-05-17,97.38
165,211,IndiaPost,2024-06-10,2024-06-13,173.35
166,212,Delhivery,2024-07-19,2024-07-24,40.32
167,213,DTDC,2023-07-12,2023-07-14,53.08
168,215,EcomExpress,2022-05-11,2022-05-13,129.24
169,216,IndiaPost,2024-06-11,2024-06-17,71.76
170,217,IndiaPost,2023-06-21,2023-06-26,169.13
171,220,BlueDart,2022-03-03,2022-03-05,175.08
172,221,EcomExpress,2022-04-23,2022-04-28,138.47
173,223,EcomExpress,2022-04-18,2022-04-20,205.92
174,224,BlueDart,2022-07-09,2022-07-15,36.2
175,225,Delhivery,2023-01-31,2023-02-02,159.34
176,226,BlueDart,2024-09-29,2024-10-06,188.57
177,227,IndiaPost,2022-07-25,2022-08-01,85.49
178,228,Delhivery,2024-09-29,2024-10-04,139.05
179,230,EcomExpress,2023-06-20,2023-06-25,86.68
180,231,Delhivery,2022-10-17,2022-10-20,200.85
181,232,EcomExpress,2022-08-05,2022-08-08,52.94
182,233,Delhivery,2024-11-18,2024-11-22,84.6
183,234,IndiaPost,2022-08-10,2022-08-12,218.17
184,235,DTDC,2024-05-25,2024-05-30,216.16
185,236,IndiaPost,2024-06-22,2024-06-29,120.49
186,237,EcomExpress,2023-04-18,2023-04-25,134.19
187,238,BlueDart,2024-10-31,2024-11-02,152.89
188,240,IndiaPost,2022-02-07,2022-02-10,29.8
189,241,Delhivery,2022-10-20,2022-10-26,214.49
190,242,DTDC,2023-03-01,2023-03-07,145.83
191,243,Delhivery,2023-11-30,2023-12-07,139.26
192,244,IndiaPost,2022-05-17,2022-05-24,104.46
193,245,BlueDart,2024-02-17,2024-02-18,108.6
194,246,IndiaPost,2023-05-04,2023-05-06,28.88
195,247,IndiaPost,2022-09-17,2022-09-20,35.19
196,248,BlueDart,2023-07-24,2023-07-26,230.95
197,251,DTDC,2024-06-23,2024-06-28,63.2
198,254,IndiaPost,2024-06-30,2024-07-05,232.91
199,255,FedEx,2022-03-09,2022-03-13,213.66
200,256,BlueDart,2022-08-29,2022-09-03,162.22
201,258,DTDC,2024-12-11,2024-12-18,187.95
202,260,EcomExpress,2023-08-22,2023-08-25,179.73
203,261,EcomExpress,2023-03-18,2023-03-25,34.07
204,262,IndiaPost,2023-05-01,2023-05-03,242.77
205,263,BlueDart,2022-11-25,2022-11-27,36.27
206,264,DTDC,2023-04-29,2023-04-30,109.25
207,265,FedEx,2022-07-11,2022-07-15,235.63
208,266,EcomExpress,2024-07-05,2024-07-06,54.8
209,267,EcomExpress,2024-08-05,2024-08-06,199.21
210,268,BlueDart,2024-03-25,2024-03-30,171.43
211,269,EcomExpress,2023-10-06,2023-10-09,35.24
212,270,EcomExpress,2023-11-17,2023-11-24,26.22
213,272,BlueDart,2024-05-25,2024-05-30,52.0
214,273,DTDC,2024-04-20,2024-04-27,211.39
215,274,,2023-09-28,2023-10-04,58.79
216,275,DTDC,2023-09-24,2023-09-30,203.04
217,277,DTDC,2024-04-09,2024-04-16,153.08
218,278,EcomExpress,2023-12-04,2023-12-05,167.63
219,287,DTDC,2023-09-20,2023-09-27,43.42
220,289,DTDC,2023-08-08,2023-08-09,66.35
221,292,FedEx,2022-03-26,2022-03-29,235.84
222,294,Delhivery,2022-01-16,2022-01-18,134.74
223,296,FedEx,2022-04-09,2022-04-15,248.91
224,302,Delhivery,2023-03-01,2023-03-06,94.81
225,303,DTDC,2023-11-29,2023-12-06,194.55
226,304,DTDC,2024-02-14,2024-02-16,84.22
227,305,DTDC,2024-02-26,2024-02-28,88.09
228,306,FedEx,2022-02-16,2022-02-22,240.35
229,307,EcomExpress,2022-08-05,2022-08-06,184.63
230,309,FedEx,2022-08-05,2022-08-07,94.28
231,311,IndiaPost,2022-07-06,2022-07-08,53.88
232,312,EcomExpress,2023-12-29,2023-12-31,213.1
233,313,BlueDart,2022-10-19,2022-10-25,166.38
234,314,FedEx,2024-09-03,2024-09-07,247.3
235,315,DTDC,2022-08-11,2022-08-14,89.39
236,316,Delhivery,2024-01-26,2024-02-02,59.25
237,317,Delhivery,2023-01-20,2023-01-25,139.96
238,318,Delhivery,2023-10-06,2023-10-08,203.98
239,319,BlueDart,2024-06-25,2024-07-02,31.2
240,320,EcomExpress,2022-05-19,2022-05-23,52.19
241,321,,2022-08-26,2022-09-02,85.24
242,322,IndiaPost,2022-10-29,2022-11-03,249.02
243,323,,2022-03-02,2022-03-08,247.88
244,324,FedEx,2022-01-06,2022-01-13,32.61
245,325,Delhivery,2023-12-08,2023-12-10,123.24
246,327,EcomExpress,2024-03-05,2024-03-11,55.4
247,330,DTDC,2022-10-06,2022-10-10,42.74
248,331,EcomExpress,2022-02-20,2022-02-23,207.86
249,332,BlueDart,2024-12-03,2024-12-10,138.86
250,333,BlueDart,2023-11-23,2023-11-26,162.74
251,334,BlueDart,2023-02-24,2023-02-28,243.28
252,336,BlueDart,2023-07-18,2023-07-23,86.86
253,337,BlueDart,2022-01-14,2022-01-15,22.83
254,340,Delhivery,2023-12-06,2023-12-10,56.85
255,341,EcomExpress,2023-08-12,2023-08-13,190.1
256,343,IndiaPost,2024-06-16,2024-06-19,191.25
257,344,FedEx,2023-04-14,2023-04-16,144.97
258,345,BlueDart,2023-04-03,2023-04-07,185.51
259,346,Delhivery,2023-12-03,2023-12-09,144.03
260,347,IndiaPost,2024-04-05,2024-04-12,196.73
261,348,BlueDart,2023-12-18,2023-12-21,43.31
262,349,EcomExpress,2023-11-12,2023-11-16,36.58
263,350,DTDC,2022-01-15,2022-01-19,113.42
264,351,FedEx,2023-10-16,2023-10-18,23.22
265,352,EcomExpress,2024-08-11,2024-08-13,189.83
266,353,EcomExpress,2023-10-30,2023-11-05,58.65
267,354,Delhivery,2023-04-22,2023-04-24,56.04
268,355,FedEx,2023-11-07,2023-11-08,123.18
269,359,BlueDart,2022-05-30,2022-06-05,44.06
270,361,Delhivery,2023-09-05,2023-09-09,26.54
271,362,IndiaPost,2024-05-28,2024-06-02,89.65
272,363,IndiaPost,2024-06-11,2024-06-15,101.76
273,364,BlueDart,2024-09-25,2024-10-02,45.42
274,365,IndiaPost,2022-11-23,2022-11-26,92.75
275,366,BlueDart,2022-05-05,2022-05-11,60.21
276,367,FedEx,2024-01-29,2024-01-31,166.73
277,368,EcomExpress,2024-03-21,2024-03-22,177.52
278,370,DTDC,2024-10-25,2024-10-30,71.91
279,371,FedEx,2022-09-10,2022-09-11,67.24
280,372,BlueDart,2024-07-22,2024-07-23,150.46
281,373,EcomExpress,2024-12-04,2024-12-07,105.85
282,374,IndiaPost,2023-12-27,2023-12-29,147.8
283,375,BlueDart,2024-12-21,2024-12-28,230.61
284,378,FedEx,2024-08-28,2024-08-30,213.38
285,379,Delhivery,2024-01-18,2024-01-23,243.98
286,380,Delhivery,2024-09-15,2024-09-16,146.67
287,381,FedEx,2024-03-29,2024-04-05,153.03
288,382,DTDC,2022-08-20,2022-08-27,232.31
289,383,EcomExpress,2024-09-06,2024-09-10,133.27
290,385,Delhivery,2022-11-07,2022-11-11,39.91
291,386,EcomExpress,2022-12-24,2022-12-29,73.73
292,387,Delhivery,2023-04-14,2023-04-17,122.34
293,388,FedEx,2025-01-09,2025-01-10,37.7
294,389,EcomExpress,2024-10-15,2024-10-22,109.62
295,390,BlueDart,2023-06-03,2023-06-04,29.78
296,392,EcomExpress,2022-03-25,2022-04-01,96.4
297,393,DTDC,2023-02-19,2023-02-26,22.14
298,395,Delhivery,2023-01-08,2023-01-15,89.4
299,396,DTDC,2022-11-13,2022-11-18,47.74
300,397,Delhivery,2022-04-22,2022-04-29,234.42
301,399,IndiaPost,2022-03-25,2022-03-30,109.92
302,400,EcomExpress,2023-02-04,2023-02-10,24.27
303,401,BlueDart,2024-03-29,2024-03-31,235.32
304,402,IndiaPost,2023-11-29,2023-12-05,39.26
305,404,FedEx,2024-02-01,2024-02-03,205.04
306,405,Delhivery,2024-05-24,2024-05-27,160.02
307,406,FedEx,2024-02-06,2024-02-09,57.41
308,407,IndiaPost,2023-11-29,2023-12-01,89.27
309,409,FedEx,2024-07-11,2024-07-16,31.84
310,414,DTDC,2024-07-25,2024-07-28,167.04
311,415,EcomExpress,2023-10-11,2023-10-13,212.62
312,417,Delhivery,2022-07-07,2022-07-11,26.83
313,418,Delhivery,2024-04-26,2024-05-02,42.58
314,419,Delhivery,2024-01-14,2024-01-18,200.31
315,421,BlueDart,2022-04-07,2022-04-11,138.45
316,422,EcomExpress,2024-03-14,2024-03-17,127.76
317,423,DTDC,2023-08-11,2023-08-15,69.43
318,424,BlueDart,2024-06-14,2024-06-15,59.55
319,425,IndiaPost,2022-08-21,2022-08-23,198.73
320,426,IndiaPost,2024-07-29,2024-08-04,42.51
321,427,IndiaPost,2024-12-05,2024-12-12,30.53
322,428,IndiaPost,2023-08-25,2023-08-27,145.53
323,429,BlueDart,2024-04-01,2024-04-07,81.06
324,430,FedEx,2024-04-02,2024-04-03,109.74
325,431,BlueDart,2022-05-12,2022-05-12,248.79
326,433,EcomExpress,2023-01-09,2023-01-13,53.15
327,435,FedEx,2022-04-19,2022-04-24,157.75
328,436,DTDC,2024-12-17,2024-12-21,60.26
329,437,EcomExpress,2024-02-22,2024-02-26,144.22
330,438,FedEx,2023-07-19,2023-07-25,81.44
331,439,EcomExpress,2023-10-13,2023-10-15,33.35
332,441,EcomExpress,2023-02-24,2023-02-27,173.83
333,442,EcomExpress,2024-11-14,2024-11-19,62.34
334,443,FedEx,2022-06-17,2022-06-24,227.92
335,444,BlueDart,2024-01-21,2024-01-26,89.64
336,445,IndiaPost,2024-05-07,2024-05-08,205.21
337,446,FedEx,2023-12-08,2023-12-09,248.42
338,447,EcomExpress,2024-06-26,2024-07-01,242.4
339,448,FedEx,2022-12-29,2023-01-05,62.74
340,449,BlueDart,2024-01-28,2024-02-01,43.44
341,450,FedEx,2024-12-19,2024-12-24,183.68
342,451,IndiaPost,2023-12-05,2023-12-07,194.72
343,452,EcomExpress,2022-05-26,2022-05-30,131.41
344,453,FedEx,2022-09-19,2022-09-20,227.38
345,454,Delhivery,2023-12-01,2023-12-07,207.53
346,455,BlueDart,2023-03-07,2023-03-12,226.93
347,457,EcomExpress,2024-10-28,2024-10-29,96.77
348,458,FedEx,2024-03-07,2024-03-12,135.29
349,459,EcomExpress,2024-12-03,2024-12-10,154.09
350,461,Delhivery,2024-07-15,2024-07-21,100.89
351,462,IndiaPost,2023-09-16,2023-09-17,137.07
352,463,DTDC,2023-04-21,2023-04-25,193.44
353,464,FedEx,2022-08-13,2022-08-17,227.15
354,465,Delhivery,2023-05-04,2023-05-08,219.54
355,466,IndiaPost,2024-07-24,2024-07-26,204.49
356,468,FedEx,2023-03-12,2023-03-17,176.93
357,469,BlueDart,2023-08-03,2023-08-08,170.59
358,470,FedEx,2023-09-02,2023-09-08,165.42
359,471,FedEx,2024-05-27,2024-06-03,51.79
360,472,EcomExpress,2023-08-26,2023-08-28,151.31
361,473,Delhivery,2024-12-13,2024-12-19,195.99
362,474,IndiaPost,2022-03-20,2022-03-24,133.53
363,475,IndiaPost,2024-09-25,2024-09-26,104.06
364,476,BlueDart,2022-11-11,2022-11-15,57.48
365,477,BlueDart,2022-10-11,2022-10-14,205.06
366,478,Delhivery,2022-10-20,2022-10-27,55.73
367,479,BlueDart,2022-01-03,2022-01-09,65.55
368,480,DTDC,2022-08-17,2022-08-18,238.28
369,483,BlueDart,2024-10-22,2024-10-23,37.68
370,484,EcomExpress,2023-06-01,2023-06-03,198.63
371,485,Delhivery,2022-02-27,2022-03-02,169.5
372,486,FedEx,2024-11-08,2024-11-14,65.24
